"problem_id","input","output"
"803","([""zilver"",""gold""], [""magnesium"",""aluminium""], [""steel"", ""bronze""])","[['gold', 'zilver'],['aluminium', 'magnesium'], ['bronze', 'steel']]"
"804","[True,False,True]","2"
"804","[False,False]","0"
"804","[True,True,True]","3"
"805","[7, 8, 9], (11, 12)","(11, 12, 7, 8, 9)"
"805","[5, 6, 7], (9, 10)","(9, 10, 5, 6, 7)"
"805","[6, 7, 8], (10, 11)","(10, 11, 6, 7, 8)"
"806","10,15","6"
"806","2,4","0"
"806","15,16","1"
"807","[25, 24, 15, 4, 5, 29, 110],[19, 20, 11, 56, 25, 233, 154],[24, 26, 54, 48]","[4, 5, 11, 15, 19, 20, 24, 24, 25, 25, 26, 29, 48, 54, 56, 110, 154, 233]"
"807","[1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]","[1, 1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 11, 12]"
"807","[18, 14, 10, 9, 8, 7, 9, 3, 2, 4, 1],[25, 35, 22, 85, 14, 65, 75, 25, 58],[12, 74, 9, 50, 61, 41]","[1, 2, 3, 4, 7, 8, 9, 9, 9, 10, 12, 14, 14, 18, 22, 25, 25, 35, 41, 50, 58, 61, 65, 74, 75, 85]"
"808","""1010"",4","2"
"808","""011001"",6","3"
"808","""11011"",5","4"
"809","[(7, 2), (15, 19), (38, 50)], 1, 52","[(1, 7), (2, 52), (2, 15), (19, 52), (19, 38), (50, 52)]"
"809","[(7, 2), (15, 19), (38, 50)], 5, 60","[(5, 7), (2, 60), (2, 15), (19, 60), (19, 38), (50, 60)]"
"809","[(6, 9), (15, 34), (48, 70)], 2, 100","[(2, 6), (9, 100), (9, 15), (34, 100), (34, 48), (70, 100)]"
"810","[[2, 3,4, 1], [4, 5], [6,4, 8],[4, 5], [6, 8,4]]","[4]"
"810","[[12, 5, 23, 25, 45], [7, 11, 5, 23, 28], [1, 5, 8, 18, 23, 16]]","[5,23]"
"810","[[12, 18, 23, 25, 45], [7, 12, 18, 24, 28], [1, 5, 8, 12, 15, 16, 18]]","[18, 12]"
"811","3,1","8"
"811","1,2","6"
"811","2,4","12"
"812","""12345""","True"
"812","""1""","True"
"812","""python""","False"
"813","[(11, 13, 10), (17, 21), (4, 2, 3), (17, 21), (9, 2), (4, 2, 3)] ","'[(11, 13, 10, 1), (17, 21, 2), (4, 2, 3, 2), (9, 2, 1)]'"
"813","[(4, 2, 4), (7, 1), (4, 8), (4, 2, 4), (9, 2), (7, 1)] ","'[(4, 2, 4, 2), (7, 1, 2), (4, 8, 1), (9, 2, 1)]'"
"813","[(6, 5, 8), (2, 7), (6, 5, 8), (6, 5, 8), (9, ), (2, 7)] ","'[(6, 5, 8, 3), (2, 7, 2), (9, 1)]'"
"814","{}","True"
"814","[{1,2},{},{}]","False"
"814","[{},{},{}]","True"
"815","(1,2,3)","123"
"815","(5,6,7)","567"
"815","(4,5,6)","456"
"816"," [(""3"", ""4""), (""1"", ""26.45""), (""7.32"", ""8""), (""4"", ""8"")] ","'[(3.0, 4.0), (1.0, 26.45), (7.32, 8.0), (4.0, 8.0)]'"
"816"," [(""6"", ""78""), (""5"", ""26.45""), (""1.33"", ""4""), (""82"", ""13"")] ","'[(6.0, 78.0), (5.0, 26.45), (1.33, 4.0), (82.0, 13.0)]'"
"816"," [(""4"", ""4""), (""2"", ""27""), (""4.12"", ""9""), (""7"", ""11"")] ","'[(4.0, 4.0), (2.0, 27.0), (4.12, 9.0), (7.0, 11.0)]'"
"817","""python programming""","['python','programming']"
"817","""write a program""","['write','a','program']"
"817","""lists tuples strings""","['lists','tuples','strings']"
"818","[1,1,3,3,4,4,5,5,7,7,8],11","8"
"818","[1,2,2,3,3,4,4],7","1"
"818","[1,1,2,2,3],5","3"
"819","[(2, 7), (2, 6), (1, 8), (4, 9)] ","36"
"819","[(11,44), (10,15), (20,5), (12, 9)] ","484"
"819","[(10,20), (15,2), (5,10)] ","200"
"820","[2, 7, 4, 0, 9, 5, 1, 3], 8, 6, 0","True"
"820","[1, 4, 5, 6, 7, 8, 5, 9], 8, 6, 0","False"
"820","[10, 4, 2, 3, 5], 5, 15, 0","True"
"821","1000","2664"
"821","1","30"
"821","50","273"
"822","99","0"
"822","999","504"
"822","9999","31626"
"823","0,2j","1.5707963267948966"
"823","0,1j","1.5707963267948966"
"823","2,1j","0.4636476090008061"
"824","""10111"", 5","1"
"824","""11011101100101"", 14","2"
"824","""11000010001"", 11","6"
"825","10,15","6"
"825","4,6","3"
"825","100,150","93"
"826","5,10","50"
"826","10,20","200"
"826","4,8","32"
"827","5,""sorting list""","['sorting']"
"827","2,""writing a program""","['writing','program']"
"827","3,""python is a programming language""","['python','programming','language']"
"828","[[2, 7, 6], [9, 5, 1], [4, 3, 7]]","False"
"828","[[2, 7, 6], [9, 5, 1], [4, 3, 8]]","True"
"828","[[7, 12, 1, 14], [2, 13, 8, 11], [16, 3, 10, 5], [9, 6, 15, 4]]","True"
"829","[10,20,20,30,40,90,80,50,30,20,50,10]","(20, 3)"
"829","[2,3,8,4,7,9,8,7,9,15,14,10,12,13,16,16,18]","(8, 2)"
"829","[2,3,8,4,7,9,8,2,6,5,1,6,1,2,3,2,4,6,9,1,2]","(2, 5)"
"830","""ab""","""ab"""
"830","""USA""","""ASU"""
"830","""Python""","""Python"""
"831","('p','r','o','g','r','a','m')","(""program"")"
"831","('p','y','t','h','o','n')","(""python"")"
"831","('e', 'x', 'e', 'r', 'c', 'i', 's', 'e', 's')","(""exercises"")"
"832","[19, -65, 57, 39, 152,-639, 121, 44, 90, -190]","-894"
"832","[10,15,-14,13,-18,12,-20]","-52"
"832","[2, 4, -6, -9, 11, -12, 14, -5, 17]","-32"
"833","[5,7,10],3,1","""ODD"""
"833","[1,2,3],3,1","""ODD"""
"833","[2,3],2,3","""EVEN"""
"834","7","91"
"834","5","45"
"834","10","190"
"835","100","327.5"
"835","265","1442.75"
"835","75","246.25"
"836","[2, 4, -6, -9, 11, -12, 14, -5, 17]","0.00"
"836","[2, 1, 2, -1, -5, 6, 4, -3, -2, 3, 4, 6, 8]","0.00"
"836","[0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8]","0.15"
"837","14","True"
"837","7","False"
"837","10","True"
"838","4","25.132"
"838","5","31.415000000000003"
"838","10","62.830000000000005"
"839","[(7, 8, 9), (10, 11, 12), (10, 11)]","[7, 8, 9, 10, 11, 12]"
"839","[(1, 2, 3), (4, 2, 3), (7, 8)]","[1, 2, 3, 4, 7, 8]"
"839","[(3, 4, 5), (4, 5, 7), (1, 4)]","[3, 4, 5, 7, 1]"
"840","[41, 42, 32, 12, 23]","[12, 23, 32, 41, 42]"
"840","[98, 12, 54, 36, 85]","[12, 36, 54, 85, 98]"
"840","[15, 79, 25, 38, 69]","[15, 25, 38, 69, 79]"
"841","[1,2,3,4,2,6,7,8],[2,2,3,1,2,6,7,8],[2,1,3,1,2,6,7,8]","5"
"841","[1,2,3,4,5,6,7,8],[2,2,3,1,2,6,7,8],[2,1,3,1,2,6,7,8]","4"
"841","[1,2,3,4,5,6,7,8],[2,2,3,1,2,6,7,9],[2,1,3,1,2,6,7,9]","3"
"842","([9, 8, 7, 6, 5, 4, 3, 2, 1])","1"
"842","([1, 2], [3, 4], [5, 6])","3"
"842","([1, 2, 3, 4], [5, 6, 7, 8])","2"
"843","[1,2,3,4,5,7,9,11,14],9","188"
"843","[1,2,3,4],4","10"
"843","[1,8,9,15,16],5","74"
"844","(3,2,1),3","2"
"844","(9,3,2,5,1),5","8"
"844","(2,1,5,3),4","4"
"845","""Language""","76"
"845","""Program""","80"
"845","""python""","112"
"846","[[2, 0, 0], [11, 18, 0], [21, 25, 33]], 2, 2","53"
"846","[[13, 0, 0], [7, 4, 0], [2, 4, 6]], 2, 2","24"
"846","[[1, 0, 0], [4, 8, 0], [1, 5, 3]], 2, 2","14"
"847","100","19"
"847","7","7"
"847","35","17"
"848","[1, 2, 3, 2, 3, 7, 2, 1], 8","7"
"848","[10, 9, 4, 5, 4, 8, 6], 7","3"
"848","[1, 2, 3, 4, 5, 3, 2], 7","6"
"849","3,2,5","False"
"849","1,-3,5","False"
"849","1,7,3","True"
"850","25,45","False"
"850","15,21","False"
"850","17,13","True"
"851","[3, 1, 4, 9, 8]","[1, 3, 4, 8, 9]"
"851","[7, 25, 45, 78, 11, 33, 19]","[7, 11, 19, 25, 33, 45, 78]"
"851","[3, 4, 2, 6, 5, 7, 1, 9]","[1, 2, 3, 4, 5, 6, 7, 9]"
"852","2,4,6","(-1.0, 4.0)"
"852","9,8,4","(-0.4444444444444444, 2.2222222222222223)"
"852","5,3,2","(-0.3, 1.55)"
"853","[[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]],3","[2,2,5]"
"853","[[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]],2","[3, 6, 9]"
"853","[[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]],0","[1, 4, 7]"
"854","30","20"
"854","20","30"
"854","10","0"
"855","(('666', '66'), ('1500', '555'))","((666, 66), (1500, 555))"
"855","(('999', '99'), ('1000', '500'))","((999, 99), (1000, 500))"
"855","(('333', '33'), ('1416', '55'))","((333, 33), (1416, 55))"
"856","'python'","[[1, 'p'], [1, 'y'], [1, 't'], [1, 'h'], [1, 'o'], [1, 'n']]"
"856","'automatically'","[[1, 'a'], [1, 'u'], [1, 't'], [1, 'o'], [1, 'm'], [1, 'a'], [1, 't'], [1, 'i'], [1, 'c'], [1, 'a'], [2, 'l'], [1, 'y']]"
"856","[1,1,2,3,4,4.3,5,1]","[[2, 1], [1, 2], [1, 3], [1, 4], [1, 4.3], [1, 5], [1, 1]]"
"857","[21,33,9,45,63],5,6","24"
"857","[4,2,6,8],4,3","-1"
"857","[2,2,2,2],4,3","0"
"858","'June',6","('spring')"
"858","'October',28","('autumn')"
"858","'January',4","('winter')"
"859","1, 13, 17","('x = ', 4, ', y = ', 1)"
"859","4, 2, 7","'No solution'"
"859","2, 3, 7","('x = ', 2, ', y = ', 1)"
"860","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10],[5,7]","[1, 2, 3, 4, 6, 8, 9, 10]"
"860","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10],[1, 3, 5, 7]","[2, 4, 6, 8, 9, 10]"
"860","[1,2,3,4,5,6,7,8,9,10],[2,4,6,8]","[1, 3, 5, 7, 9, 10]"
"861","9","25"
"861","10","30"
"861","6","12"
"862","9,7","302.90938549487214"
"862","10,15","1731.1969896610804"
"862","4,20","400.00000000000006"
"863","23,47","True"
"863","2,4","False"
"863","36,57","False"
"864","""AbgdeF""","5"
"864","""ABcED""","3"
"864","""xbcefg""","2"
"865","[1,2,3],3","1"
"865","[7,2,8,1,0,5,11],7","9"
"865","[5,4,7,2,1],5","4"
"866","17","32"
"866","5","8"
"866","0","1"
"867","[0,1,2,3,1,2],1","2"
"867","[1,2,2,3,3,3,4],3","3"
"867","[1,2,3],4","0"
"868","8","408"
"868","7","169"
"868","4","12"
"869"," [2,1,5,6,8,3,4,9,10,11,8,12],7,10","38"
"869"," [2,1,5,6,8,3,4,9,10,11,8,12],5,7","16"
"869"," [2,1,5,6,8,3,4,9,10,11,8,12],8,10","29"
"870","5","25"
"870","15","75"
"870","10","50"
"871","""letstdlenstdporstd""","3"
"871","""makestdsostdworthit""","2"
"871","""truststdsolensporsd""","1"
"872","'python   ^%&^()(+_)(_^&67)                  program'","('python67program')"
"872","'python  @#&^%$*program123'","('pythonprogram123')"
"872","'python %^$@!^&*()  programming24%$^^()    language'","('pythonprogramming24language')"
"873","[('python', 1), ('python', 2), ('python', 3), ('python', 4), ('python', 5)]","{'python': [1,2,3,4,5]}"
"873","[('yellow', 1), ('blue', 2), ('yellow', 3), ('blue', 4), ('red', 1)]","{'yellow': [1, 3], 'blue': [2, 4], 'red': [1]}"
"873","[('yellow',100), ('blue', 200), ('yellow', 300), ('blue', 400), ('red', 100)]","{'yellow': [100, 300], 'blue': [200, 400], 'red': [100]}"
"874","""()[{)}""","False"
"874","""()""","True"
"874","""(){}[]""","True"
"875","3,4,5","12"
"875","25,35,45","105"
"875","10,20,30","60"
"876","1,3","(1,2)"
"876","3,8","(3,6)"
"876","2,6","(2,4)"
"877","['python'],'programming language'","('Not Matched!')"
"877","['program'],'python language'","('Not Matched!')"
"877","['language'],'python language'","('Matched!')"
"878","197","True"
"878","12","False"
"878","14","True"
"879","10,20,30,40","6783.751974994595"
"879","10.5,20.5,30.5,40.5","6069.397933300514"
"879","23.5,67.5,25.5,69.5","12179.372041317429"
"880","[""teens"", ""teenager"", ""teenmar""], 3","'teen'"
"880","[""apples"", ""ape"", ""april""], 3","'ap'"
"880","[""tablets"", ""tables"", ""taxi"", ""tamarind""], 4","'ta'"
"881","""HeyFolks32""","(['H', 'F'], ['e', 'y', 'o', 'l', 'k', 's'], ['3', '2'], [])"
"881","""Hithere2""","(['H'], ['i', 't', 'h', 'e', 'r', 'e'], ['2'], [])"
"881","""ThisIsGeeksforGeeks""","(['T', 'I', 'G', 'G'], ['h', 'i', 's', 's', 'e', 'e', 'k', 's', 'f', 'o', 'r', 'e', 'e', 'k', 's'], [], [])"
"882","[2, 4, 1, 3, 4], 5, 2","3"
"882","[8, 12, 16, 4, 0, 20], 6, 4","5"
"882","[1, 5, 3, 4, 2], 5, 3","2"
"883","[1,2,3,4],10","False"
"883","[12, 17, 21],20","False"
"883","[220, 330, 500],200","True"
"884","2,4,6","(-1.0, 4.125)"
"884","9,8,4","(-0.4444444444444444, 2.25)"
"884","5,3,2","(-0.3, 1.6)"
"885","'The quick brown fox jumps over the lazy dog.',['lazy']","'Matched!'"
"885","'The quick brown fox jumps over the lazy dog.',['horse']","'Not Matched!'"
"885","'The quick brown fox jumps over the lazy dog.',['fox']","'Matched!'"
"886","""AXYT"" , ""AYZX"", 4, 4","2"
"886","""ABCDGH"" , ""AEDFHR"", 6, 6","3"
"886","""AGGTAB"" , ""GXTXAYB"", 6, 7","4"
"887","16","True"
"887","30","False"
"887","25","False"
"888","[0,1,2,5,-8],5","3"
"888","[0,-1,-2,1,5,8],6","2"
"888","[1,2,3,-1,5],5","4"
"889","4,2,6,4","1"
"889","1,2,1,2","1"
"889","1,1,4,4","4"
"890","""April""","True"
"890","""June""","True"
"890","""February""","False"
"891","'string'","False"
"891","'python'","False"
"891","'thishasboth29'","True"
"892","(1, 3, 5, 2, 3, 5, 1, 1, 3)","(1, 2, 3, 5)"
"892","(2, 3, 4, 4, 5, 6, 6, 7, 8, 8)","(2, 3, 4, 5, 6, 7, 8)"
"892","(11, 12, 13, 11, 11, 12, 14, 13)","(11, 12, 13, 14)"
"893","40","32"
"893","30","24"
"893","25","21"
"894","[1,2,3],1,3","0"
"894","[1,2,2,2,3,2,2,4,2],2,9","1"
"894","[1,2,3,4,5,6,6],6,6","5"
"895","[(1, 4, 4), (4, 3), (8, 6, 7), (1, ), (3, 6, 7)] , 3","[(4, 3), (1,)]"
"895","[(4, 5), (4,5), (6, 7), (1, 2, 3), (3, 4, 6, 7)] ,2","[(1, 2, 3), (3, 4, 6, 7)]"
"895","[(4, 5), (4, ), (8, 6, 7), (1, ), (3, 4, 6, 7)] , 1","[(4, 5), (8, 6, 7), (3, 4, 6, 7)]"
"896","(12, 6, 7, 8), (7, 8, 9, 7)","(35831808, 1679616, 40353607, 2097152)"
"896","(11, 5, 6, 7), (6, 7, 8, 6)","(1771561, 78125, 1679616, 117649)"
"896","(10, 4, 5, 6), (5, 6, 7, 5)","(100000, 4096, 78125, 7776)"
"897","9,1","105.2220865598093"
"897","5,7","4.639421805988064"
"897","4,2","10.392304845413264"
"898","32","32"
"898","19","16"
"898","10","8"
"899","[2,1,5,6,8,3,4,9,10,11,8,12]","[11]"
"899","[1,2,2,2,4,4,4,5,5,5,5]","[7,8,9,10]"
"899","[12,33,23,10,67,89,45,667,23,12,11,10,54]","[7]"
"900","['one','Two','Three']","False"
"900","['bigdata','python','Django']","False"
"900","['one','one','one']","True"
"901","""language""","(""lnug"")"
"901","""program""","(""porm"")"
"901","""python""","(""pto"")"
"902","1,2","2"
"902","2,4","2"
"902","4,8","2"
"903","""mnmm0pm"",""m""","4"
"903","""ababca"",""a""","3"
"903","""abcc"",""c""","2"
"904","(8, 9, 11, 14, 12, 13)","(-9, -10, -12, -15, -13, -14)"
"904","(2, 4, 5, 6, 1, 7)","(-3, -5, -6, -7, -2, -8)"
"904","(7, 8, 9, 1, 10, 7)","(-8, -9, -10, -2, -11, -8)"
"905","(""MSAM"", ""IS "", ""BEST "", ""FOR "", ""ALL "", ""SKD"")","('MSAMIS ', 'IS BEST ', 'BEST FOR ', 'FOR ALL ', 'ALL SKD')"
"905","(""RES "", ""IS "", ""BEST "", ""FOR "", ""ALL "", ""QESR"")","('RES IS ', 'IS BEST ', 'BEST FOR ', 'FOR ALL ', 'ALL QESR')"
"905","(""DSP "", ""IS "", ""BEST "", ""FOR "", ""ALL "", ""UTS"")","('DSP IS ', 'IS BEST ', 'BEST FOR ', 'FOR ALL ', 'ALL UTS')"
"906","""aab""","1"
"906","""aabb""","2"
"906","""AABEBCDD""","3"
"907","'123.1214'","False"
"907","'0.21'","True"
"907","'123.11'","True"
"908","[25, 44, 68, 21, 39, 23, 89],500","[23, 25, 68, 44, 39, 500, 89]"
"908","[25, 44, 68, 21, 39, 23, 89],110","[23, 25, 68, 44, 39, 110, 89]"
"908"," [25, 44, 68, 21, 39, 23, 89],21","[21, 25, 23, 44, 39, 68, 89]"
"909","""HELLOhowareyou98765""","True"
"909","""*&%@#!}{""","False"
"909","""ABCDEFabcdef123450""","True"
"910","1","1"
"910","3","2"
"910","2","1"
"911","6","2275"
"911","4","354"
"911","2","17"
"912","(""Harpreet"", ""Priyanka"", ""Muskan""), (""Kour"", "" Agarwal"", ""Sethi"")","('HarpreetKour', 'Priyanka Agarwal', 'MuskanSethi')"
"912","(""Shaik"", ""Ayesha"", ""Sanya""), ("" Dawood"", "" Begum"", "" Singh"")","('Shaik Dawood', 'Ayesha Begum', 'Sanya Singh')"
"912","(""Manjeet"", ""Nikhil"", ""Akshat""), ("" Singh"", "" Meherwal"", "" Garg"")","('Manjeet Singh', 'Nikhil Meherwal', 'Akshat Garg')"
"913","60","3437.746770784939"
"913","120","6875.493541569878"
"913","90","5156.620156177409"
"914","['a', 'u', 't', 'o', 'm', 'a', 't', 'i', 'c', 'a', [2, 'l'], 'y']","['a', 'u', 't', 'o', 'm', 'a', 't', 'i', 'c', 'a', 'l', 'l', 'y']"
"914","[[2, 1], 2, 3, [2, 4], 5,1]","[1,1,2,3,4,4,5,1]"
"914","['p', 'y', 't', 'h', 'o', 'n']","['p', 'y', 't', 'h', 'o', 'n']"
"915","[[2, 3, 1], [4, 5], [6, 8]],[[4, 5], [6, 8]]","True"
"915","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14],[[12, 18, 23, 25, 45], [7, 11, 19, 24, 28], [1, 5, 8, 18, 15, 16]]","False"
"915","[['a', 'b'], ['e'], ['c', 'd']],[['g']]","False"
"916","""Google""","""o"""
"916","""data""","""a"""
"916","""python""","'\0'"
"917","4,10","4"
"917","1,4","3"
"917","2,4","1"
"918","(5, 20, 3, 7, 6, 8), 2","(3, 5, 8, 20)"
"918","(2, 3, 4, 8, 9, 11, 7), 4","(2, 3, 4, 7, 8, 9, 11)"
"918","(4, 5, 6, 1, 2, 7), 3","(1, 2, 4, 5, 6, 7)"
"919","'a b c,d e f',3","('a:b:c:d e f')"
"919","'Python language, Programming language.',2","('Python:language: Programming language.')"
"919","'ram reshma,ram rahim',1","('ram:reshma,ram rahim')"
"920","[5, 6, 7]","6"
"920","[1, 3, 5, 7, 4, 1, 6, 8]","4"
"920","[2, 3, 4]","2"
"921","(1, 2, ""4"") ","False"
"921","(5, 6, 7, 3, 5, 6) ","True"
"921","(3, 2, 1, 4, 5) ","True"
"922","[1, 1, 2, 4, 4, 4, 6, 6], 8, 4","False"
"922","[1, 1, 1, 2, 2], 5, 1","True"
"922","[1, 2, 3, 3, 3, 3, 10], 7, 3","True"
"923","4","1"
"923","2","1"
"923","6","2"
"924","[4,6,8],0,2","4"
"924","[2,3,5,7,9],0,4","2"
"924","[1,2,3,4,5],0,4","1"
"925","'python'","'pto'"
"925","'data'","'dt'"
"925","'abcdef'","'ace'"
"926","19,15,18","15"
"926","10,20,0","0"
"926","-10,-20,-30","-30"
"927","17,2,4","True"
"927","39,4,6","False"
"927","4,1,2","True"
"928","[12, -14, -26, 13, 15], 5","[-14, -26, 12, 13, 15]"
"928","[10, 24, 36, -42, -39, -78, 85], 7","[-42, -39, -78, 10, 24, 36, 85]"
"928","[-1, 2, -3, 4, 5, 6, -7, 8, 9], 9","[-1, -3, -7, 4, 5, 6, 2, 8, 9]"
"929","""python program language"",'$'","(""python$program$language"")"
"929","""blank space"",""-""","(""blank-space"")"
"929","""hello people"",'@'","(""hello@people"")"
"930","[[1], [1, 2], [4, 1, 12]], 3","15"
"930","[[2], [3,2], [13,23,12]], 3","28"
"930","[[1], [2,1], [3,3,2]], 3","6"
"931","[10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100],5","[100,90,80,70,60]"
"931","[10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100],3","[100,90,80]"
"931","[10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100],2","[100,90]"
"932","4,5","125.66000000000001"
"932","10,5","314.15000000000003"
"932","4,10","251.32000000000002"
"933","2","8"
"933","5","125"
"933","3","27"
"934","20","30"
"934","30","30"
"934","10","10"
"935","4,2","7"
"935","4,3","3"
"935","1,3","-1"
"936","[(13, 2), (11, 23), (12, 25), (25, 12), (16, 23)] ","{(2, 13): 1, (11, 23): 1, (12, 25): 2, (16, 23): 1}"
"936","[(3, 1), (1, 3), (2, 5), (5, 2), (6, 3)] ","{(1, 3): 2, (2, 5): 2, (3, 6): 1}"
"936","[(4, 2), (2, 4), (3, 6), (6, 3), (7, 4)] ","{(2, 4): 2, (3, 6): 2, (4, 7): 1}"
"937","""abcde""","15"
"937","""abc""","6"
"937","""abcd""","10"
"938","16, 3","84"
"938","10, 4","4"
"938","5, 2","6"
"939","[1,2,3,4,5],[5,6,7,8]","[1,2,3,4,5,6,7,8]"
"939","[""red"",""blue"",""green""],[""yellow""]","[""red"",""blue"",""yellow""]"
"939","[1, 3, 5, 7, 9, 10],[2, 4, 6, 8]","[1, 3, 5, 7, 9, 2, 4, 6, 8]"
"940","5,3,4","[[['*', '*', '*', '*', '*'], ['*', '*', '*', '*','*'], ['*', '*', '*', '*', '*']], [['*', '*', '*', '*', '*'],['*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*']], [['*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*']], [['*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*']]]"
"940","1,2,3","[[['*'],['*']],[['*'],['*']],[['*'],['*']]]"
"940","6,4,3","[[['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*']], [['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*']], [['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*'], ['*', '*', '*', '*', '*', '*']]]"
"941","""language""","8"
"941","""words""","5"
"941","""python programming""","18"
"942","[(2, 'Mark'), (3, 'Maze'), (2, 'Sara')]","[(2, 'Mark', 'Sara', 2), (3, 'Maze', 1)]"
"942","[(1, 'Jake'), (2, 'Bob'), (1, 'Cara')]","[(1, 'Jake', 'Cara', 2), (2, 'Bob', 1)]"
"942","[('b', 'ball'), ('a', 'arm'), ('b', 'b'), ('a', 'ant')]","[('b', 'ball', 'b', 2), ('a', 'arm', 'ant', 2)]"
"943","6","9"
"943","35","36"
"943","9","16"
"944","[80, 60, 30, 40, 20, 10], 6","210"
"944","[2, 3 ,14, 16, 21, 23, 29, 30], 8","138"
"944","[1, 15, 51, 45, 33, 100, 12, 18, 9], 9","194"
"945","2","1.414213562373095"
"945","9","3.0"
"945","10","3.162277660168379"
"946","""CARDIO FOR CARDS""","7"
"946","""PART OF THE JOURNEY IS PART""","9"
"946","""TENS FOR TENS""","5"
"947","19","3.547739657143682"
"947","7","2.5928571428571425"
"947","4","2.083333333333333"
"948","[1, 2, 3, 5, 7, 8, 9, 10],[3,5,7,9]","[3,5,7,9]"
"948","[1, 2, 3, 5, 7, 8, 9, 10],[10,20,30,40]","[10]"
"948","[1, 2, 3, 5, 7, 8, 9, 10],[1, 2, 4, 8, 9]","[1, 2, 8, 9]"
"949","(10, 8, 5, 2, 10, 15, 10, 8, 5, 8, 8, 2),10","3"
"949","(10, 8, 5, 2, 10, 15, 10, 8, 5, 8, 8, 2),4","0"
"949","(10, 8, 5, 2, 10, 15, 10, 8, 5, 8, 8, 2),8","4"
"950","['python', 'java'] ,'program'","['program', 'python', 'program', 'java']"
"950","['Red', 'Green', 'Black'] ,'c'","['c', 'Red', 'c', 'Green', 'c', 'Black']"
"950","['happy', 'sad'] ,'laugh'","['laugh', 'happy', 'laugh', 'sad']"
"951","1","(1.0, 0.0)"
"951","5","(5.0,0.0)"
"951","4","(4.0,0.0)"
"952","[1,2,'abc',1.2]","2"
"952","[1,1.2,4,5.1]","2"
"952","[1,2,3]","3"
"953","""python programe language""","['ame','anguage']"
"953","""assert statement""","['assert', 'atement']"
"953","""python programe""","['ame']"
"954"," [""Red"",""Green"",""Blue""],1","[('Red',), ('Green',), ('Blue',)]"
"954"," [""Red"",""Green"",""Blue""],3","[('Red', 'Red', 'Red'), ('Red', 'Red', 'Green'), ('Red', 'Red', 'Blue'), ('Red', 'Green', 'Green'), ('Red', 'Green', 'Blue'), ('Red', 'Blue', 'Blue'), ('Green', 'Green', 'Green'), ('Green', 'Green', 'Blue'), ('Green', 'Blue', 'Blue'), ('Blue', 'Blue', 'Blue')]"
"954"," [""Red"",""Green"",""Blue""],2","[('Red', 'Red'), ('Red', 'Green'), ('Red', 'Blue'), ('Green', 'Green'), ('Green', 'Blue'), ('Blue', 'Blue')]"
"955","5","2"
"955","10","4"
"955","100","25"
"956","15,17","(17,15)"
"956","100,200","(200,100)"
"956","10,20","(20,10)"
"957","[1, 2, 4, 8, 9]","2"
"957","[10,15,14,13,-18,12,-20]","2"
"957","[1, 2, 3, 5, 7, 8, 10]","4"
"958","((3, 5), (6, 7), (4, 11), (3, 12)), ((8, 9), (5, 11), (3, 3), (9, 5))","((8, 9), (6, 11), (4, 11), (9, 12))"
"958","((2, 4), (5, 6), (3, 10), (2, 11)), ((7, 8), (4, 10), (2, 2), (8, 4))","((7, 8), (5, 10), (3, 10), (8, 11))"
"958","((1, 3), (4, 5), (2, 9), (1, 10)), ((6, 7), (3, 9), (1, 1), (7, 3))","((6, 7), (4, 9), (2, 9), (7, 10))"
"959","5","41"
"959","4","17"
"959","3","7"
"960","(20, 14, 36, 18),(5, 7, 6, 9)","(4, 2, 6, 2)"
"960","(12, 6, 8, 16),(6, 3, 4, 4)","(2, 2, 2, 4)"
"960","(10, 4, 6, 9),(5, 2, 3, 3)","(2, 2, 2, 3)"
"961","['p', 'y', 't', 'h', 'o', 'n'],4","(['p', 'y', 't', 'h'], ['o', 'n'])"
"961","['a', 'b', 'c', 'd'],2","(['a', 'b'], ['c', 'd'])"
"961","[1,1,2,3,4,4,5,1],3","([1, 1, 2], [3, 4, 4, 5, 1])"
