id,problem_id,input,output
1011,16,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]",3
1012,16,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",3
1013,16,"[[-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1]]",3
1014,16,"[[5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5]]",3
1015,16,"[[1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21], [22, 23, 24, 25, 26, 27, 28], [29, 30, 31, 32, 33, 34, 35], [36, 37, 38, 39, 40, 41, 42], [43, 44, 45, 46, 47, 48, 49]]",3
1016,16,"[[49, 48, 47, 46, 45, 44, 43], [42, 41, 40, 39, 38, 37, 36], [35, 34, 33, 32, 31, 30, 29], [28, 27, 26, 25, 24, 23, 22], [21, 20, 19, 18, 17, 16, 15], [14, 13, 12, 11, 10, 9, 8], [7, 6, 5, 4, 3, 2, 1]]",3
1017,16,"[[39, 99, 97, 9, 81, 71, 60, 94, 25], [64, 49, 78, 6, 13, 77, 36, 72, 13], [34, 97, 62, 23, 7, 23, 50, 92, 62], [18, 96, 86, 74, 88, 22, 47, 7, 95], [40, 48, 56, 11, 61, 67, 42, 11, 43], [57, 29, 49, 8, 54, 85, 97, 98, 59], [2, 54, 24, 20, 31, 11, 36, 8, 43], [57, 9, 25, 44, 8, 82, 63, 42, 76], [84, 69, 69, 57, 50, 3, 24, 17, 29]]",3
1018,16,"[[77, 27, 53, 29, 59, 1, 86], [5, 77, 46, 22, 77, 4, 61], [64, 4, 44, 57, 74, 91, 50], [14, 26, 68, 42, 88, 48, 19], [30, 12, 15, 89, 3, 78, 41], [35, 8, 13, 30, 32, 15, 8], [92, 42, 34, 33, 42, 24, 55]]",3
1019,16,"[[62, 60, 33, 23, 70, 6, 68, 64, 52, 93, 65, 50, 90, 11, 74], [12, 13, 77, 89, 54, 89, 60, 14, 20, 49, 91, 45, 29, 18, 46], [17, 64, 93, 1, 20, 96, 1, 78, 37, 82, 15, 74, 90, 86, 78], [77, 17, 28, 82, 76, 94, 13, 88, 6, 100, 89, 39, 95, 47, 78], [99, 5, 45, 37, 48, 7, 25, 23, 68, 97, 15, 95, 71, 97, 99], [19, 95, 10, 80, 50, 50, 74, 86, 8, 26, 64, 87, 58, 36, 15], [37, 89, 63, 19, 35, 57, 19, 16, 18, 23, 13, 64, 31, 88, 20], [19, 26, 10, 15, 8, 28, 58, 63, 10, 87, 27, 43, 60, 67, 40], [89, 89, 52, 72, 74, 16, 19, 16, 90, 73, 67, 7, 87, 10, 35], [88, 16, 75, 80, 55, 20, 98, 80, 11, 78, 55, 98, 19, 47, 10], [24, 37, 43, 90, 2, 69, 38, 15, 32, 44, 37, 20, 97, 99, 38], [57, 42, 51, 68, 91, 81, 46, 53, 37, 77, 88, 9, 30, 56, 74], [46, 50, 93, 4, 43, 64, 48, 42, 31, 71, 53, 21, 62, 15, 41], [22, 65, 8, 24, 90, 15, 83, 40, 77, 80, 96, 46, 86, 8, 65], [74, 57, 62, 86, 15, 34, 55, 78, 20, 53, 82, 13, 48, 13, 17]]",3
1020,16,"[[82, 92, 91, 54, 42], [31, 48, 14, 93, 2], [68, 58, 93, 27, 55], [14, 6, 91, 33, 84], [73, 2, 62, 3, 69]]",3
1021,16,"[[79, 18, 57, 3, 4, 5, 69], [32, 41, 37, 88, 83, 94, 6], [52, 97, 72, 20, 37, 66, 84], [92, 7, 95, 43, 79, 23, 77], [35, 10, 98, 27, 40, 100, 33], [83, 27, 100, 18, 6, 62, 27], [52, 38, 80, 64, 29, 19, 83]]",3
1022,17,2,30
1023,17,0,3
1024,17,1,3
1025,17,-1,3
1026,18,2,30
1027,18,0,3
1028,18,1,3
1029,18,-1,3
1030,19,[1],1
1031,19,[],0
1032,19,[605],70
1033,19,"[0, 0, 0, 0, 0]",7
1034,19,"[1, 1, 1, 1, 1]",7
1035,19,"[-1, -1, -1, -1, -1]",7
1036,19,"[5, 5, 5, 5, 5]",7
1037,19,"[5, 4, 3, 2, 1]",7
1038,19,"[348, 505, 212, 311, 61, 145, 542, 385, 306, 495, 792]",7
1039,19,"[486, 758, 985, 620, 839, 454, 840, 333, 752, 665, 675, 612, 605, 569, 738, 313, 137, 70, 756, 709, 438, 261, 171, 669, 933, 517, 665, 770, 937, 760, 725, 382, 886, 856, 838, 875]",7
1040,19,"[782, 578, 95, 693, 971, 195, 17, 485, 610, 874, 691, 979, 370, 250, 214, 40, 88, 267, 288, 694, 572, 247, 488, 837, 391, 401, 791, 247, 571, 909, 616, 846, 930, 330, 351, 428, 672, 943, 520]",7
1041,19,"[816, 309, 970, 372, 308, 935, 766, 614, 882, 405, 729, 110, 936, 969, 416, 890, 629, 517, 370, 93, 535, 364, 994, 828, 719, 603, 246, 2, 924, 586, 303, 801, 231, 456]",7
1042,19,"[970, 739, 8, 81, 666, 221, 420, 30, 503]",7
1043,19,"[0, 4, 2, 2, 4]",7
1044,19,"[1, 2, 2, 1]",7
1045,20,"[[""korean""]]","[""korean""]"
1046,20,[[]],[]
1047,20,[[38]],"[""korean"", ""english"", ""math""]"
1048,20,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[""korean"", ""english"", ""math""]"
1049,20,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[""korean"", ""english"", ""math""]"
1050,20,"[[-1, -1, -1], [-1, -1, -1], [-1, -1, -1]]","[""korean"", ""english"", ""math""]"
1051,20,"[[5, 5, 5], [5, 5, 5], [5, 5, 5]]","[""korean"", ""english"", ""math""]"
1052,20,"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","[""korean"", ""english"", ""math""]"
1053,20,"[[9, 8, 7], [6, 5, 4], [3, 2, 1]]","[""korean"", ""english"", ""math""]"
1054,20,"[[41, 45, 75, 44, 74, 75, 47, 30, 35, 90, 51, 7], [9, 18, 60, 7, 54, 13, 64, 24, 45, 6, 21, 21], [87, 14, 84, 32, 94, 85, 70, 92, 82, 3, 27, 67], [90, 48, 95, 98, 71, 98, 82, 31, 9, 82, 4, 31], [98, 53, 18, 9, 13, 78, 22, 54, 63, 97, 28, 13], [68, 49, 7, 18, 70, 8, 73, 47, 72, 14, 76, 26], [41, 75, 37, 83, 80, 83, 10, 38, 83, 74, 52, 83], [80, 10, 64, 76, 50, 76, 94, 37, 95, 39, 66, 13], [14, 84, 90, 58, 2, 96, 57, 85, 60, 39, 41, 96], [31, 38, 1, 39, 81, 42, 68, 73, 24, 64, 96, 85], [46, 13, 15, 15, 25, 8, 89, 83, 66, 90, 94, 60], [89, 62, 27, 67, 8, 80, 74, 39, 64, 68, 24, 79]]","[""korean"", ""english"", ""math""]"
1055,20,"[[10, 53, 87, 34, 47, 48, 52, 78], [81, 63, 81, 9, 91, 93, 26, 57], [22, 27, 23, 50, 50, 43, 37, 71], [67, 77, 52, 80, 99, 18, 46, 37], [92, 56, 56, 46, 13, 52, 86, 78], [57, 16, 94, 4, 72, 45, 51, 91], [62, 84, 75, 65, 40, 54, 15, 57], [84, 87, 12, 97, 12, 2, 73, 38]]","[""korean"", ""english"", ""math""]"
1056,20,"[[41, 83, 62, 48, 54, 2], [56, 16, 33, 16, 22, 42], [67, 65, 55, 29, 57, 29], [51, 18, 60, 10, 12, 31], [97, 88, 49, 93, 31, 85], [32, 93, 10, 94, 8, 40]]","[""korean"", ""english"", ""math""]"
1057,20,"[[72, 19, 73], [67, 7, 44], [77, 71, 89]]","[""korean"", ""english"", ""math""]"
1058,20,"[[24, 70, 58, 13, 53, 99, 86, 26, 20, 69, 48, 46, 57, 99], [9, 62, 11, 67, 35, 7, 36, 71, 51, 32, 3, 70, 14, 54], [91, 55, 96, 30, 20, 43, 44, 42, 90, 4, 34, 15, 13, 36], [73, 3, 50, 49, 11, 55, 70, 96, 97, 2, 26, 64, 99, 36], [62, 6, 100, 46, 92, 24, 98, 83, 91, 15, 95, 69, 34, 13], [84, 34, 45, 82, 18, 64, 61, 48, 65, 82, 68, 42, 72, 18], [9, 64, 91, 27, 82, 43, 59, 2, 90, 51, 4, 4, 5, 100], [31, 74, 29, 4, 95, 20, 6, 28, 11, 18, 95, 92, 100, 42], [40, 67, 3, 2, 10, 64, 6, 86, 73, 38, 15, 81, 62, 41], [63, 9, 87, 52, 76, 48, 68, 96, 83, 46, 75, 12, 2, 56], [34, 3, 96, 71, 26, 93, 15, 82, 24, 80, 8, 74, 59, 91], [53, 32, 95, 73, 47, 13, 70, 37, 28, 80, 37, 86, 44, 45], [56, 96, 29, 90, 80, 13, 84, 4, 13, 47, 1, 43, 36, 74], [33, 8, 7, 25, 9, 91, 41, 25, 90, 39, 26, 75, 23, 93]]","[""korean"", ""english"", ""math""]"
1059,21,[1],"[""diamond""]"
1060,21,[],[]
1061,21,"[212, 918, 464, 572, 709]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1062,21,"[0, 0, 0]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1063,21,"[1, 1, 1]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1064,21,"[-1, -1, -1]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1065,21,"[5, 5, 5]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1066,21,"[1, 2, 3, 4, 5]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1067,21,"[5, 4, 3, 2, 1]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1068,21,"[906, 713, 684, 271, 226, 726, 426, 865, 918, 387, 877, 181, 904, 658]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1069,21,"[656, 357, 490, 412, 755, 938, 418, 357, 396, 133, 853, 630, 542, 129, 764, 782, 514, 246, 25, 303, 499, 975, 421, 7, 169, 904, 339, 770, 542, 973, 730, 204, 208, 976, 591, 418, 723, 757]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1070,21,"[341, 207, 638, 880, 48, 735, 319, 415, 689, 44, 815, 782, 917, 953, 738, 102, 119, 984, 845, 883, 626, 315, 78, 488, 476, 871, 692, 606]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1071,21,"[528, 648, 712, 947, 604, 349, 983, 351, 968, 171, 491, 253, 255, 627, 115, 475, 871, 477, 394, 113, 81, 364, 845, 749, 305, 776, 374, 555, 600, 366, 154, 838]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1072,21,"[395, 732, 193, 320, 82, 162, 423, 268, 20, 399, 68, 809, 123, 831, 198, 551, 673]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1073,21,"[0, 4, 2, 2, 4]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1074,21,"[1, 2, 2, 1]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
1075,22,"[""...D..R""]",1
1076,22,[],0
1077,22,"[104, 705, 549, 136, 696, 674, 284, 802, 490, 566, 8, 194, 447, 926, 367, 45, 264, 841, 52, 401, 189, 580, 891, 28, 26, 407, 300, 228, 523, 416, 807, 425, 917, 362, 380, 688, 389, 250, 602, 720, 182, 599, 321, 362, 163, 911, 560, 957, 523, 845, 124, 904, 530, 631, 636, 993, 796, 304, 53, 586, 402, 45, 769, 174, 597, 902, 55, 419, 988, 316, 349, 580, 135, 409, 443, 687, 562, 996, 656, 196, 672, 360, 837, 241, 174, 383, 650, 429, 970, 543, 849, 715, 715, 400, 555, 357, 951, 852, 908, 993]",70
1078,22,"[0, 0, 0, 0, 0]",7
1079,22,"[1, 1, 1, 1, 1]",7
1080,22,"[-1, -1, -1, -1, -1]",7
1081,22,"[5, 5, 5, 5, 5]",7
1082,22,"[1, 2, 3, 4, 5]",7
1083,22,"[5, 4, 3, 2, 1]",7
1084,22,"[779, 963, 754, 118, 552, 643, 181, 866, 872, 890, 594, 908, 600, 476, 576, 365, 253, 839, 929, 997, 763, 288, 666, 157, 73, 710, 366, 743, 186, 932, 721]",7
1085,22,"[799, 258, 121, 73, 117, 771, 971, 40, 515, 587, 203, 871, 83, 915, 22, 5, 942, 184, 863, 309, 307, 690, 216, 183, 992, 698, 342, 433, 231, 445, 213, 112]",7
1086,22,"[614, 449, 959, 328, 368, 161, 499, 21, 701, 327, 29, 1000, 321, 129, 595, 744, 912, 901, 679, 830, 611, 782, 934, 916, 315, 20, 284, 636, 621, 835, 656, 121, 807, 199, 493, 723, 540, 246, 688, 134, 470, 106, 283, 629, 992, 604]",7
1087,22,"[180, 728, 50, 15, 541, 350]",7
1088,22,"[942, 260, 426, 708, 47, 242, 783, 530, 758, 330, 858, 131, 14, 953, 459, 303, 164, 472, 742, 258, 839, 587, 59, 570, 918, 599, 609, 903, 601, 849, 848, 223, 493, 695, 443, 889, 935, 873, 898, 786, 728, 723, 608, 51, 362, 448]",7
1089,22,"[0, 4, 2, 2, 4]",7
1090,22,"[1, 2, 2, 1]",7
1091,23,10,100
1092,23,0,10
1093,23,1,10
1094,23,-1,10
1095,28,[2],1
1096,28,[],0
1097,28,"[116, 355, 582, 785, 842, 464, 80, 247, 303, 790, 86, 884, 960, 728, 88, 382, 734, 418, 346, 814, 356, 561, 336, 908, 121, 991, 891, 387, 377, 474, 519, 318, 398, 843, 402, 954, 532, 689, 826, 909, 662, 608, 460, 613, 803, 241, 952, 195, 824, 628, 921, 591, 292, 190, 170, 928, 626, 855, 205, 980, 646, 330, 65, 414, 603, 460, 186, 685, 592, 555, 362, 22, 833, 826, 912, 735, 326, 376, 879, 675, 201, 899, 802, 979, 65, 406, 442, 28, 803, 620, 345, 133, 913, 240, 32, 783, 159, 239, 838, 368, 424, 131, 249, 890, 290, 370, 676, 441, 135, 313, 78, 774, 484, 933, 929, 897, 702, 380, 683, 696, 159, 206, 219, 57, 471, 159, 467, 123, 827, 340, 747, 409, 385, 465, 324, 663, 141, 7, 141, 151, 73, 418, 921, 878, 968, 349, 507, 11, 909, 231, 618, 631, 482, 292, 12, 288, 812, 282, 353, 288, 315, 63, 978, 703, 665, 782, 173, 717, 262, 781, 28, 281, 916, 585, 279, 230, 585, 601, 337, 698, 731, 575, 963, 156, 860, 229, 816, 289, 810, 283, 673, 989, 477, 296, 827, 639, 125, 271, 931, 55, 637, 998, 563, 221, 717, 188, 686, 529, 709, 488, 565, 587, 387, 164, 208, 747, 865, 134, 399, 624, 1000, 158, 715, 261, 525, 157, 852, 902, 871, 740, 429, 549, 518, 434, 475, 919, 175, 610, 32, 307, 347, 453, 246, 246, 249, 36, 222, 724, 240, 428, 325, 596, 127, 12, 957, 350, 12, 238, 433, 837, 507, 164, 89, 957, 733, 822, 158, 468, 375, 335, 689, 645, 136, 334, 577, 710, 42, 231, 24, 628, 552, 982, 576, 322, 463, 50, 7, 902, 607, 722, 551, 637, 65, 184, 87, 595, 683, 353, 672, 394, 222, 694, 55, 300, 296, 345, 553, 90, 626, 999, 565, 698, 314, 530, 15, 473, 473, 804, 968, 406, 541, 490, 668, 455, 28, 923, 77, 487, 933, 713, 98, 277, 917, 835, 824, 149, 701, 524, 841, 779, 280, 888, 854, 194, 33, 92, 395, 875, 608, 187, 1000, 361, 747, 328, 639, 489, 856, 483, 101, 698, 751, 470, 570, 997, 729, 246, 222, 71, 877, 89, 793, 545, 561, 362, 347, 933, 634, 339, 175, 324, 207, 777, 793, 683, 522, 626, 212, 733, 892, 458, 731, 887, 854, 524, 751, 590, 542, 974, 978, 604, 252, 904, 281, 87, 835, 562, 664, 970, 16, 677, 315, 604, 786, 344, 336, 918, 884, 837, 625, 192, 258, 717, 221, 896, 952, 175, 698, 321, 927, 19, 36, 393, 392, 66, 244, 275, 882, 249, 450, 239, 895, 424, 633, 100, 697, 786, 638, 425, 206, 683, 203, 669, 390, 902, 144, 539, 425, 690, 217, 380, 887, 625, 889, 399, 250, 146, 771, 445, 884, 73, 352, 885, 136, 877, 66, 389, 8, 811, 587, 645, 694, 533, 687, 878, 110, 328, 976, 22, 660, 660, 459, 646, 424, 180, 668, 962, 227, 146, 683, 586]",100
1098,28,"[0, 0, 0, 0, 0, 0, 0, 0]",10
1099,28,"[1, 1, 1, 1, 1, 1, 1, 1]",10
1100,28,"[-1, -1, -1, -1, -1, -1, -1, -1]",10
1101,28,"[5, 5, 5, 5, 5, 5, 5, 5]",10
1102,28,"[1, 2, 3, 4, 5, 6, 7, 8]",10
1103,28,"[8, 7, 6, 5, 4, 3, 2, 1]",10
1104,28,"[74, 547, 395, 886, 990, 245, 413, 734, 250, 29, 978, 876, 589, 357, 207, 903, 388, 38, 536, 508, 643, 48, 559, 885, 258, 629, 589, 264, 887, 834, 206, 970, 629, 757, 76, 174, 505, 619, 161, 632, 578, 994, 702]",10
1105,28,"[917, 381, 410, 130, 914, 202, 232, 145, 269, 299, 123, 310, 381, 324, 492, 485, 655]",10
1106,28,"[650, 669, 848, 849, 433, 911, 457, 713, 500, 894, 507, 127, 743, 276, 979, 593, 916, 723, 585, 537, 564, 316, 33, 355, 695, 710, 154, 587, 134, 86, 951, 16, 405, 3, 158, 77]",10
1107,28,"[542, 45, 838, 7, 229, 475, 572, 669, 101, 439, 393, 21, 608, 767, 861, 679, 772, 451, 185, 339, 870, 59, 930, 52, 748, 516, 665, 807, 698, 187, 159, 163, 707, 716, 28, 3, 514, 756, 250, 804, 91, 89, 399, 408, 350, 430, 700, 925]",10
1108,28,"[335, 707, 613, 159, 794, 776, 848, 711, 103, 190, 448, 128, 495, 885, 19, 494, 340, 623, 177, 879, 511, 125, 83, 716, 991, 111, 514, 824, 194, 202, 732, 366]",10
1109,28,"[0, 7, 2, 5, 4, 3, 6, 1]",10
1110,28,"[1, 2, 3, 4, 4, 3, 2, 1]",10
1111,29,"[""O.X""]",1
1112,29,[],0
1113,29,"[989, 705, 613, 379, 152, 705, 563, 230, 155, 546, 280, 356, 75, 676, 993, 637, 110, 579, 410, 11, 261, 212, 180, 498, 870, 748, 579, 51, 948, 902, 748, 455, 653, 505, 679, 887, 127, 167, 570, 294, 42, 804, 397, 545, 76, 170, 391, 693, 853, 706, 990, 81, 657, 893, 852, 278, 183, 913, 871, 166, 932, 657, 923, 498, 136, 954, 912, 911, 200, 65, 361, 214, 943, 811, 760, 750, 554, 360, 605, 264, 74, 945, 652, 624, 487, 514, 620, 717, 786, 954, 497, 47, 482, 703, 152, 256, 779, 423, 809, 825]",10
1114,29,"[0, 0, 0]",1
1115,29,"[1, 1, 1]",1
1116,29,"[-1, -1, -1]",1
1117,29,"[5, 5, 5]",1
1118,29,"[1, 2, 3, 4, 5]",1
1119,29,"[5, 4, 3, 2, 1]",1
1120,29,"[238, 206, 924, 886, 693, 388, 120, 577, 352, 416, 351, 318, 564, 644, 954, 358, 705, 345, 508, 733, 286, 734, 696, 973, 564, 79, 403, 190, 968]",1
1121,29,"[60, 790, 214, 571, 458, 532, 105, 657, 108, 89, 793, 520, 722, 210, 283, 358, 589, 421, 461, 555, 700, 516, 653, 727, 39, 906, 887, 129, 512, 999, 704, 218, 173, 232, 610, 509, 867, 813, 34]",1
1122,29,"[480, 590, 416, 899, 598, 793, 854, 1, 397, 837, 866, 902, 807, 531, 26, 505, 744, 732]",1
1123,29,"[48, 296, 621, 950, 512, 43, 265, 816, 350, 54, 744, 510, 659, 589, 656, 959, 362, 26, 977, 260, 751, 487, 333, 781, 647, 29, 824, 260, 86, 345]",1
1124,29,"[15, 776, 77, 654, 736, 220, 345, 922, 798, 373, 455, 563, 382, 752, 755, 259, 414, 405, 498, 318, 494, 505, 397, 154, 475, 866, 127, 386, 178, 100, 732, 675, 33, 791, 576, 947, 682, 149, 13, 361, 739]",1
1125,29,"[0, 4, 2, 2, 4]",1
1126,29,"[1, 2, 2, 1]",1
1127,30,"[""SOOOL""]",1
1128,30,[],0
1129,30,"[807, 262, 401, 780, 420, 999, 617, 921, 234, 328, 46, 308, 472, 888, 954, 411, 368, 397, 686, 534, 919, 569, 709, 982, 153, 541, 392, 332, 170, 138, 172, 895, 333, 110, 349, 973, 454, 285, 663, 275, 650, 812, 964, 224, 615, 136, 597, 551, 627, 310, 382, 781, 565, 61, 88, 93, 643, 846, 276, 392, 33, 747, 284, 451, 876, 17, 681, 922, 916, 957, 156, 790, 330, 1000, 27, 625, 906, 351, 369, 168, 74, 490, 485, 708, 52, 646, 691, 511, 349, 459, 55, 744, 216, 853, 41, 821, 527, 530, 418, 619]",160
1130,30,"[0, 0, 0, 0, 0]",16
1131,30,"[1, 1, 1, 1, 1]",16
1132,30,"[-1, -1, -1, -1, -1]",16
1133,30,"[5, 5, 5, 5, 5]",16
1134,30,"[1, 2, 3, 4, 5]",16
1135,30,"[5, 4, 3, 2, 1]",16
1136,30,"[27, 73, 969, 162, 839, 741, 359, 578, 93, 511, 99, 591, 938, 140, 432, 534, 306, 497, 585, 23, 900, 856, 753, 269, 559, 551, 822, 363, 420, 855, 879, 199, 448, 251]",16
1137,30,"[991, 37, 597, 30, 867, 242, 645, 522, 754, 30, 132, 675, 186, 113, 1, 257, 583, 953, 435, 631, 605, 804, 449, 74, 484, 305, 407, 435, 449, 795, 906, 86, 865, 17, 971, 203, 54, 768, 540, 976, 199, 497, 736]",16
1138,30,"[113, 295, 823, 439, 276, 617, 85, 478, 343, 180, 944, 813, 649, 564, 980, 16, 657]",16
1139,30,"[216, 586, 58, 241, 675, 366, 427, 571, 812, 870, 551, 560, 284, 194, 915, 337, 509, 636, 163, 115, 660, 16, 705, 609, 573, 974, 502, 124, 435, 784, 747, 829, 297]",16
1140,30,"[295, 300, 695, 894, 310, 678, 759, 902]",16
1141,30,"[0, 4, 2, 2, 4]",16
1142,30,"[1, 2, 2, 1]",16
1143,31,1,10
1144,31,0,1
1145,31,-1,1
1146,33,1,40
1147,33,0,4
1148,33,-1,4
1149,35,"[[""15:00""]]",1
1150,35,[[]],0
1151,35,[[66]],30
1152,35,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]",3
1153,35,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",3
1154,35,"[[-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1]]",3
1155,35,"[[5, 5, 5, 5, 5], [5, 5, 5, 5, 5], [5, 5, 5, 5, 5], [5, 5, 5, 5, 5], [5, 5, 5, 5, 5]]",3
1156,35,"[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10], [11, 12, 13, 14, 15], [16, 17, 18, 19, 20], [21, 22, 23, 24, 25]]",3
1157,35,"[[25, 24, 23, 22, 21], [20, 19, 18, 17, 16], [15, 14, 13, 12, 11], [10, 9, 8, 7, 6], [5, 4, 3, 2, 1]]",3
1158,35,"[[50, 22, 84, 15, 75, 12, 87, 34, 20, 65, 18, 58], [86, 73, 25, 73, 72, 73, 50, 48, 31, 76, 82, 57], [48, 97, 60, 76, 70, 24, 55, 27, 92, 67, 96, 3], [85, 45, 29, 84, 36, 33, 7, 86, 65, 66, 72, 29], [32, 74, 1, 59, 88, 95, 79, 22, 54, 47, 76, 6], [42, 46, 38, 54, 30, 55, 26, 76, 38, 34, 64, 9], [78, 49, 1, 12, 30, 56, 91, 86, 24, 26, 50, 49], [88, 75, 12, 60, 50, 86, 49, 88, 16, 49, 19, 65], [56, 69, 87, 68, 87, 40, 56, 14, 89, 98, 73, 39], [46, 90, 99, 97, 68, 41, 63, 47, 48, 13, 29, 20], [89, 9, 85, 82, 59, 65, 14, 82, 37, 64, 78, 1], [31, 81, 73, 27, 48, 100, 76, 33, 54, 54, 4, 15]]",3
1159,35,"[[37, 51, 7, 35, 95, 92, 16], [7, 73, 2, 1, 50, 13, 11], [37, 32, 26, 16, 87, 5, 82], [24, 20, 49, 32, 2, 20, 48], [17, 75, 90, 90, 59, 52, 13], [30, 88, 64, 19, 58, 32, 74], [92, 12, 50, 37, 70, 8, 71]]",3
1160,35,"[[55, 9, 81, 31, 89, 54, 24, 44, 32, 54, 30], [55, 21, 95, 37, 89, 69, 86, 63, 64, 93, 26], [2, 39, 94, 59, 40, 58, 66, 28, 18, 14, 82], [78, 70, 10, 94, 25, 40, 24, 86, 27, 84, 32], [9, 97, 32, 11, 79, 92, 93, 77, 37, 16, 94], [10, 86, 98, 14, 64, 54, 76, 6, 91, 29, 51], [91, 40, 30, 52, 64, 44, 87, 6, 44, 38, 59], [87, 45, 65, 7, 51, 41, 25, 97, 8, 86, 77], [41, 48, 86, 94, 79, 83, 65, 55, 48, 42, 23], [34, 51, 26, 87, 67, 95, 89, 96, 73, 27, 91], [79, 13, 28, 28, 22, 97, 70, 57, 21, 63, 96]]",3
1161,35,"[[64, 29, 54, 40, 30, 18, 79, 65, 77, 85], [23, 14, 28, 11, 77, 19, 70, 51, 41, 68], [65, 47, 90, 93, 53, 74, 62, 47, 65, 38], [34, 82, 16, 77, 93, 98, 57, 24, 100, 55], [22, 94, 86, 38, 77, 71, 38, 73, 30, 70], [75, 51, 93, 11, 24, 32, 95, 72, 82, 65], [21, 63, 40, 86, 88, 39, 21, 84, 13, 70], [1, 76, 93, 90, 82, 87, 8, 63, 3, 50], [29, 57, 29, 6, 40, 95, 49, 59, 99, 92], [75, 48, 20, 77, 4, 62, 84, 89, 84, 93]]",3
1162,35,"[[23, 73, 63, 24, 41], [89, 26, 61, 84, 85], [42, 25, 11, 80, 80], [58, 97, 23, 44, 24], [73, 84, 99, 38, 63]]",3
1163,36,"[""X591X""]",[1]
1164,36,[],[]
1165,36,"[61, 393, 751, 125, 746, 577, 128, 194, 229, 343, 766, 221, 664, 871, 404, 326, 581, 423, 39, 474, 216, 164, 674, 831, 40, 666, 999, 604, 402, 632, 814, 307, 274, 558, 989, 242, 499, 719, 787, 774, 82, 478, 28, 102, 155, 116, 302, 172, 993, 397, 650, 634, 410, 122, 591, 439, 567, 832, 226, 119, 365, 706, 206, 14, 279, 20, 657, 516, 228, 800, 999, 449, 378, 692, 971, 511, 904, 74, 610, 327, 935, 616, 673, 752, 378, 469, 452, 774, 342, 267, 621, 308, 78, 621, 484, 690, 948, 598, 463, 293]","[1, 1, 27]"
1166,36,"[0, 0, 0, 0]","[1, 1, 27]"
1167,36,"[1, 1, 1, 1]","[1, 1, 27]"
1168,36,"[-1, -1, -1, -1]","[1, 1, 27]"
1169,36,"[5, 5, 5, 5]","[1, 1, 27]"
1170,36,"[1, 2, 3, 4, 5]","[1, 1, 27]"
